OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,Shape__Area,Shape__Length
8808,4c07d11d-fa40-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15054,257038,Glenealy,257038005,257038005,A257038005,0,0,8808,463183.326599121,3964.05751803225
8809,4c07d11d-fa41-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15066,257077,Wicklow Rural,257077011,257077011,A257077011,0,0,8809,123003.106536865,1533.23833399036
8810,4c07d11d-fa49-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15060,257058,Newcastle Lower,257058005,257058005,A257058005,0,0,8810,159403.073730469,1655.99624303264
8811,4c07d11d-fa4a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15061,257059,Newcastle Upper,257059003,257059003,A257059003,0,0,8811,216792.812469482,2304.01328361573
8812,4c07d11e-1649-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05062,267122,Shankill-Shanganagh,267122010,267122010,A267122010,0,0,8812,485045.514373779,2856.17196600798
8813,4c07d11e-16ad-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05039,267080,Dundrum-Sandyford,267080018,267080018,A267080018,0,0,8813,148858.33807373,1551.41926635306
8814,4c07d11e-16ae-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05037,267078,Dundrum-Balally,267078019,267078019,A267078019,0,0,8814,78594.6456604004,1694.76150168418
8815,4c07d11e-1659-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05060,267120,Shankill-Rathmichael,267120017,267120017,A267120017,0,0,8815,199005.924255371,2869.93091853008
8816,4c07d11e-1575-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,RN,Roscommon,30110,197103,Strokestown,197103004,197103004,A197103004,0,0,8816,1066700.86172485,4256.09298213082
8817,4c07d11e-156f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13089,237079,Mullingar Rural,237079023,237079023,A237079023,0,0,8817,275774.244903564,2196.44128201423
8818,4c07d11e-15d7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11010,167030,Dunshaughlin,167030003,167030003,A167030003,0,0,8818,705061.725860596,3828.16357377901
8819,4c07d11e-157a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13082,237065,Killucan,237065002,237065002,A237065002,0,0,8819,307183.158599854,2611.36431569941
8820,4c07d11e-157b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13082,237065,Killucan,237065005,237065005,A237065005,0,0,8820,1002170.12255859,4463.62073292789
8821,4c07d11e-15e0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11051,167011,Bective,167011001,167011001,A167011001,0,0,8821,1585644.95150757,5299.88407631827
8822,4c07d11d-fa54-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15061,257059,Newcastle Upper,257059011,257059011,A257059011,0,0,8822,271929.84161377,2339.93517702978
8823,4c07d11d-fa55-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15056,257048,Kilcoole,257048020,257048020,A257048020,0,0,8823,1033893.69445801,4262.92138918372
8824,4c07d11d-fa78-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15034,257039,Greystones,257039023,257039023,A257039023,0,0,8824,131364.073028564,2285.04976240761
8825,4c07d11d-fa79-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15034,257039,Greystones,257039015,257039015,A257039015,0,0,8825,138689.783538818,1724.90440850288
8826,4c07d11d-fa7a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15032,257027,Delgany,257027014,257027014,A257027014,0,0,8826,204016.027252197,2250.64743659762
8827,4c07d11d-fa7b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15034,257039,Greystones,257039024,257039024,A257039024,0,0,8827,359318.35369873,4065.83517961677
8828,4c07d11e-1576-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,RN,Roscommon,30110,197103,Strokestown,197103006,197103006,A197103006,0,0,8828,162086.1769104,1930.41028386742
8829,4c07d11e-1577-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,RN,Roscommon,30030,197021,Boyle Rural,197021007,197021007,A197021007,0,0,8829,591062.530303955,3740.74641049052
8830,4c07d11e-1578-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,RN,Roscommon,30031,197022,Boyle Urban,197022010,197022010,A197022010,0,0,8830,898585.450073242,4885.82400267861
8831,4c07d11e-15fb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11055,167065,Navan Rural,167065016,167065016,A167065016,0,0,8831,308637.079406738,2704.52680737799
8832,4c07d11e-2378-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11067,167070,Oldcastle,167070008,167070008,A167070008,0,0,8832,691544.18460083,3951.46860581103
8833,4c07d11e-15ca-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,LD,Longford,09014,137006,Ballinalee,137006001,137006001,A137006001,0,0,8833,614647.58807373,3382.35438167347
8834,4c07d11e-15cb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,LD,Longford,09027,137035,Granard Urban,137035002,137035002,A137035002,0,0,8834,172400.5753479,2058.64132639677
8835,4c07d11e-15cc-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,LM,Leitrim,28074,117066,Mohill,117066006,117066006,A117066006,0,0,8835,307182.948059082,2443.94394600613
8836,4c07d11e-15cd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,LM,Leitrim,28001,117009,Ballinamore,117009004,117009004,A117009004,0,0,8836,448442.615600586,3513.13964510684
